term,estimate,std.error,statistic,p.value,conf.low,conf.high,ruca_cat,n,r2
log1p(n_bus_stops),0.93383,0.05708,16.3601,0,0.82195,1.04571,Metropolitan,48546,0.8068
log1p(dist_highway_km),-4.69315,0.14674,-31.98377,0,-4.98076,-4.40555,Metropolitan,48546,0.8068
hwy_mi_1mi,-0.39048,0.04768,-8.18944,0,-0.48394,-0.29703,Metropolitan,48546,0.8068
hwy_mi_5mi,0.00682,0.00333,2.04416,0.04094,2.8e-4,0.01335,Metropolitan,48546,0.8068
hwy_decay,-0.02778,0.04222,-0.65796,0.51057,-0.11054,0.05498,Metropolitan,48546,0.8068
pct_no_vehicle,0.10862,0.00937,11.59535,0,0.09026,0.12698,Metropolitan,48546,0.8068
mean_noise_db,-0.02952,0.00482,-6.12238,0,-0.03896,-0.02007,Metropolitan,48546,0.8068
pct_exposed_60db,0.04753,0.01253,3.79261,1.5e-4,0.02297,0.07209,Metropolitan,48546,0.8068
log1p(n_bus_stops),0.82123,0.16508,4.9747,0,0.4976,1.14486,Micropolitan,5322,0.6717
log1p(dist_highway_km),-2.15356,0.36223,-5.94535,0,-2.86367,-1.44345,Micropolitan,5322,0.6717
hwy_mi_1mi,-0.10455,0.21835,-0.47884,0.63207,-0.53261,0.3235,Micropolitan,5322,0.6717
hwy_mi_5mi,0.12979,0.02828,4.58975,0,0.07435,0.18523,Micropolitan,5322,0.6717
hwy_decay,-0.18819,0.16354,-1.15073,0.2499,-0.50881,0.13242,Micropolitan,5322,0.6717
pct_no_vehicle,0.00791,0.03681,0.21489,0.82986,-0.06426,0.08008,Micropolitan,5322,0.6717
mean_noise_db,-0.04496,0.01938,-2.31951,0.02041,-0.08296,-0.00696,Micropolitan,5322,0.6717
pct_exposed_60db,-0.10362,0.07008,-1.4786,0.13931,-0.24101,0.03377,Micropolitan,5322,0.6717
log1p(n_bus_stops),0.99308,0.37698,2.63433,0.0085,0.25371,1.7324600000000001,Small Town,1765,0.6086
log1p(dist_highway_km),-1.08129,0.63609,-1.6999,0.08933,-2.32887,0.16629,Small Town,1765,0.6086
hwy_mi_1mi,1.0228,0.44712,2.28752,0.02228,0.14585,1.89975,Small Town,1765,0.6086
hwy_mi_5mi,0.24541,0.07018,3.4969,4.8e-4,0.10776,0.38305,Small Town,1765,0.6086
hwy_decay,-0.60992,0.28461,-2.14297,0.03225,-1.16813,-0.0517,Small Town,1765,0.6086
pct_no_vehicle,0.18652,0.07086,2.63235,0.00855,0.04755,0.32549,Small Town,1765,0.6086
mean_noise_db,0.05184,0.05491,0.94423,0.34518,-0.05584,0.15953,Small Town,1765,0.6086
pct_exposed_60db,-0.24012,0.26218,-0.91588,0.35985,-0.75434,0.27409,Small Town,1765,0.6086
log1p(n_bus_stops),1.26145,0.25531,4.94087,0,0.76092,1.76198,Rural,4641,0.6617
log1p(dist_highway_km),0.83535,0.37036,2.25552,0.02415,0.10927,1.56144,Rural,4641,0.6617
hwy_mi_1mi,0.7973,0.38386,2.07708,0.03785,0.04476,1.54985,Rural,4641,0.6617
hwy_mi_5mi,0.23884,0.04811,4.96396,0,0.14451,0.33316,Rural,4641,0.6617
hwy_decay,0.10065,0.14111,0.71327,0.47571,-0.17599,0.3773,Rural,4641,0.6617
pct_no_vehicle,-0.10843,0.03677,-2.94838,0.00321,-0.18052,-0.03633,Rural,4641,0.6617
mean_noise_db,-0.0019,0.07357,-0.02584,0.97938,-0.14613,0.14232,Rural,4641,0.6617
pct_exposed_60db,0.53131,0.36154,1.46959,0.14174,-0.17748,1.24011,Rural,4641,0.6617
